feedback_id,customer_id,feature_id,rating,feedback_category,comment,sentiment,created_at
FB368,C091,F019,3,General Satisfaction,Acceptable performance.,Neutral,2026-03-29
FB369,C092,F004,1,UI/UX,Search results are inconsistent.,Negative,2026-05-22
FB370,C092,F005,5,Feature Request,Dark mode would be useful.,Positive,2026-06-11
FB371,C092,F006,3,UI/UX,Useful but could be improved.,Neutral,2026-01-08
FB372,C093,F001,4,General Satisfaction,Works perfectly.,Positive,2026-06-30
FB373,C093,F003,4,General Satisfaction,Great implementation.,Positive,2026-01-30
FB374,C093,F005,3,Reliability,Satisfactory.,Neutral,2026-06-02
FB375,C093,F006,4,UI/UX,Very intuitive interface.,Positive,2026-04-28
FB376,C093,F007,3,Reliability,Acceptable performance.,Neutral,2026-03-18
FB377,C093,F014,4,General Satisfaction,Very intuitive interface.,Positive,2026-06-27
FB378,C093,F015,4,Reliability,Really improves productivity.,Positive,2026-04-19
FB379,C093,F016,4,Reliability,Excellent experience.,Positive,2026-05-06
FB380,C093,F019,5,Reliability,Very useful feature.,Positive,2026-04-02
FB381,C094,F005,5,UI/UX,Really improves productivity.,Positive,2026-04-24
FB382,C094,F010,4,UI/UX,Very useful feature.,Positive,2026-03-12
FB383,C094,F014,5,Reliability,Great implementation.,Positive,2026-05-21
FB384,C094,F017,5,Reliability,Very useful feature.,Positive,2026-04-23
FB385,C095,F002,3,General Satisfaction,Satisfactory.,Neutral,2026-01-09
FB386,C095,F005,4,General Satisfaction,Saves me a lot of time.,Positive,2026-02-23
FB387,C095,F015,4,General Satisfaction,Very useful feature.,Positive,2026-05-26
FB388,C095,F016,4,UI/UX,Works perfectly.,Positive,2026-03-16
FB389,C096,F004,3,UI/UX,Works as expected.,Neutral,2026-03-12
FB390,C096,F010,3,General Satisfaction,Good overall.,Neutral,2026-03-24
FB391,C096,F017,5,General Satisfaction,Easy to use.,Positive,2026-04-14
FB392,C097,F011,3,Reliability,Works as expected.,Neutral,2026-04-28
FB393,C099,F001,4,Reliability,Great implementation.,Positive,2026-03-29
FB394,C099,F007,3,UI/UX,Works as expected.,Neutral,2026-02-01
FB395,C100,F001,5,General Satisfaction,Excellent experience.,Positive,2026-06-16
FB396,C100,F002,3,UI/UX,Works as expected.,Neutral,2026-06-17
FB397,C100,F008,3,Reliability,Good overall.,Neutral,2026-01-14
FB398,C100,F010,3,General Satisfaction,Useful but could be improved.,Neutral,2026-06-17
FB399,C100,F011,4,UI/UX,Easy to use.,Positive,2026-02-03
FB400,C100,F018,4,UI/UX,Excellent experience.,Positive,2026-05-03
FB401,C100,F020,4,General Satisfaction,Very intuitive interface.,Positive,2026-04-05
